entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,activity_type,activity_code,env_score_adjustment,env_score_adjustment_capped,sdg_id,sdg_name
29,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,10912700000.0,2.164,2.381,1.955,2.024,24850.0,30357.0,Operation,MTH001,-1.5,-1.0,9.0,"Industry, Innovation and Infrastructure"
37,WEU,Western Europe,ES,Spain,1279737000.0,3.796,4.05,3.8,3.333,10327.0,22314.0,Other,ENVIB010,-0.1,-0.1,16.0,"Peace, Justice and Strong Institutions"
46,EEU,Eastern Europe,EE,Estonia,492307000.0,2.988,3.172,3.0,2.643,36653.0,89702.0,Farming,D.35.7.B,-0.232170692,-0.232170692,7.0,Affordable and Clean Energy
58,WEU,Western Europe,NO,Norway,655579000.0,3.682,4.566,3.084,2.81,231720.0,3401.0,Other,ENVIB025,-0.25,-0.25,8.0,Decent Work and Economic Growth
60,WEU,Western Europe,IT,Italy,787000000.0,1.902,1.34,2.9,1.714,416298.0,85145.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production
63,WEU,Western Europe,FR,France,1926233000.0,2.908,3.65,1.797,2.905,12879.0,6132.0,Operation,Q.86.2.B,-0.1,-0.1,3.0,Good Health and Wellbeing
66,WEU,Western Europe,FR,France,4800000000.0,2.971,3.215,3.593,1.786,17567.0,5803.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
87,WEU,Western Europe,IT,Italy,568178000.0,2.726,3.0,2.677,2.286,2440.0,447.22,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
90,WEU,Western Europe,IT,Italy,686200000.0,3.181,3.957,2.585,2.5,46555.0,29729.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
98,WEU,Western Europe,DE,Germany,616338000.0,3.376,3.821,3.0,3.024,4709.6,1410.4,Operation,MTH002,-0.1,-0.1,8.0,Decent Work and Economic Growth
102,WEU,Western Europe,DE,Germany,1316803000.0,3.355,4.4,2.876,2.048,577624.0,170126.0,Other,ENVIB010,-0.1,-0.1,2.0,Zero Hunger
106,WEU,Western Europe,DE,Germany,426258000.0,2.162,1.95,2.375,2.286,2223.0,131.0,Operation,MTH001,-0.5,-0.5,9.0,"Industry, Innovation and Infrastructure"
972,WEU,Western Europe,IT,Italy,16300000000.0,2.218,2.407,2.056,2.071,104418.0,232269.0,Operation,MTH002,-0.1,-0.1,7.0,Affordable and Clean Energy
999,WEU,Western Europe,NL,Netherlands,4110000000.0,1.987,2.12,2.014,1.714,3684.0,204.0,Operation,MTH001,-0.25,-0.25,16.0,"Peace, Justice and Strong Institutions"
1054,WEU,Western Europe,FR,France,1250000000.0,2.885,3.46,1.984,2.929,1375.0,2510.0,Operation,X.XX.3.B,-0.25,-0.25,4.0,Quality Education
1055,WEU,Western Europe,LU,Luxembourg,1704800000.0,3.133,3.8,2.8,2.333,63214.0,56730.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1060,WEU,Western Europe,FR,France,563108000.0,2.769,2.798,2.434,3.119,16227.0,163.0,Disposal ,C.25.06.P,0.060046918,0.060046918,7.0,Affordable and Clean Energy
1063,WEU,Western Europe,PT,Portugal,5142600000.0,2.727,2.54,2.203,3.69,31861.0,74807.0,Disposal ,Q.86.1.P,0.03242468,0.03242468,9.0,"Industry, Innovation and Infrastructure"
1064,WEU,Western Europe,FR,France,715000000.0,3.177,3.742,2.617,2.833,12698.0,1814.0,Farming,A.1.3.B,-0.25,-0.25,2.0,Zero Hunger
1074,WEU,Western Europe,FR,France,1283277000.0,3.37,3.9,3.3,2.5,13537.81,5076.68,Operation,G.47.4.B,-0.1,-0.1,3.0,Good Health and Wellbeing
1077,WEU,Western Europe,FR,France,1406689000.0,3.077,3.29,3.12,2.643,3008.0,3062.0,Transportation,M.70.4.P,0.1,0.1,12.0,Responsible Consumption and Production
1078,NAM,Northern America,US,United States of America,6120000000.0,3.068,3.8,3.039,1.786,8825.0,1597.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1079,WEU,Western Europe,LU,Luxembourg,715000000.0,3.083,3.25,3.0,2.881,2203.0,2288.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1091,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2350200000.0,3.07,3.653,2.711,2.452,242.4,1726.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1129,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1041090000.0,3.119,3.714,1.988,3.405,11057.0,14914.0,Other,ENVIB010,-0.1,-0.1,4.0,Quality Education
1131,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5100000000.0,3.482,3.071,5.0,2.4,7455.0,14923.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1132,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1115200000.0,3.244,3.913,3.0,2.333,173229.0,57301.0,Raw materials,C.32.41.B,-0.087032617,-0.087032617,12.0,Responsible Consumption and Production
1140,WEU,Western Europe,NL,Netherlands,417000000.0,2.776,2.793,3.0,2.476,78.0,126.0,Operation,J.58.101.B,-0.25,-0.25,9.0,"Industry, Innovation and Infrastructure"
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000.0,2.943,3.761,2.383,2.143,6347.0,3709.0,Operation,MTH002,-0.138696255,-0.138696255,3.0,Good Health and Wellbeing
1157,WEU,Western Europe,DK,Denmark,7780000000.0,3.185,3.65,2.9,2.69,74384.0,19399.0,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1160,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,754600000.0,2.729,3.0,2.988,1.929,1293.0,1005.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1162,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1123600000.0,2.857,3.2,2.4,2.786,205.9,3932.5,Operation,J.58.20.P,0.1,0.1,16.0,"Peace, Justice and Strong Institutions"
1170,NAM,Northern America,CA,Canada,2664900000.0,3.213,3.913,2.977,2.238,22879.0,910.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1171,WEU,Western Europe,ES,Spain,951029000.0,3.892,4.823,3.894,2.214,9866.0,21117.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1179,WEU,Western Europe,ES,Spain,421000000.0,3.252,3.52,2.88,3.214,21074.42,34687.78,Other,ENVIB010,-0.2,-0.2,3.0,Good Health and Wellbeing
1181,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3050000000.0,2.853,3.387,2.882,1.857,18199.0,4680.0,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1182,WEU,Western Europe,FR,France,1210000000.0,2.703,3.103,2.47,2.262,14193.0,30353.0,End-use,F.42.12.P,0.1325,0.1325,9.0,"Industry, Innovation and Infrastructure"
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2850000000.0,2.548,2.495,2.905,2.214,134278.0,4842.0,Disposal ,C.28.40.P,0.031,0.031,12.0,Responsible Consumption and Production
1195,WEU,Western Europe,FR,France,6050000000.0,3.17,3.859,3.449,1.595,45800.0,3500.0,Farming,I.56.1.B,-0.07258118,-0.07258118,12.0,Responsible Consumption and Production
1198,WEU,Western Europe,AT,Austria,1855872600.0,2.972,3.028,2.827,3.048,35049.0,5536.0,Disposal ,C.32.63.P,0.055662483,0.055662483,7.0,Affordable and Clean Energy
1203,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1630000000.0,2.943,3.15,3.0,2.5,16965.0,2851.0,Operation,MTH002,-0.1,-0.1,13.0,Climate Action
1204,WEU,Western Europe,DE,Germany,1490000000.0,3.162,3.702,2.862,2.548,4920.0,7419.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1205,WEU,Western Europe,CH,Switzerland,5305365000.0,2.879,3.25,2.5,2.667,637605.0,503162.0,Operation,MTH002,-0.1,-0.1,2.0,Zero Hunger
1206,WEU,Western Europe,ES,Spain,2980000000.0,1.998,2.138,1.785,2.0,1802.0,0.0,Operation,MTH001,-0.25,-0.25,11.0,Sustainable Cities and Communities
1207,EEU,Eastern Europe,CZ,Czechia,1114065013.0,2.646,3.8,1.75,1.643,13722.0,370328.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1208,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3371500000.0,3.16,3.602,2.807,2.786,41015.0,5405.0,Operation,M.75.2.P,0.090923921,0.090923921,3.0,Good Health and Wellbeing
1211,WEU,Western Europe,NL,Netherlands,3080000000.0,2.926,3.557,2.75,2.0,50000.0,17000.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1213,WEU,Western Europe,CH,Switzerland,4440000000.0,3.129,3.9,2.675,2.286,7600.0,5500.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1214,WEU,Western Europe,LU,Luxembourg,1116728000.0,2.449,2.465,2.143,2.786,747.0,111.0,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1224,WEU,Western Europe,NL,Netherlands,1732400000.0,2.978,3.413,2.9,2.286,32666.0,3860.0,Raw materials,C.28.94.P,0.176328502,0.176328502,8.0,Decent Work and Economic Growth
1225,WEU,Western Europe,BE,Belgium,3360000000.0,2.686,3.012,2.827,1.929,24256.0,4085.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production
1226,WEU,Western Europe,CH,Switzerland,828744000.0,3.128,3.6,3.1,2.31,441.0,1357.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1227,WEU,Western Europe,JE,Jersey,661000000.0,3.374,4.0,2.012,3.881,637.0,91.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1229,WEU,Western Europe,DE,Germany,9300000000.0,2.352,2.13,2.9,2.095,115383.0,8264.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production
1238,NAM,Northern America,CA,Canada,19400000000.0,3.544,3.418,3.652,3.643,205624.0,47661.0,Farming,A.1.4.B,-0.073516405,-0.073516405,12.0,Responsible Consumption and Production
1239,WEU,Western Europe,DE,Germany,1392163000.0,2.023,1.0,3.0,2.69,7650.0,7760.0,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1242,WEU,Western Europe,IT,Italy,440714000.0,3.042,3.53,3.0,2.214,1962.0,400.0,Operation,MTH002,-0.2,-0.2,3.0,Good Health and Wellbeing
1243,WEU,Western Europe,SE,Sweden,3410000000.0,2.752,2.961,2.9,2.2,48140.0,3215.0,Other,ENVIB010,-0.1,-0.1,12.0,Responsible Consumption and Production
1245,WEU,Western Europe,DE,Germany,817000000.0,3.235,4.0,2.72,2.476,38092.0,35629.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1246,WEU,Western Europe,IT,Italy,830700000.0,3.089,2.863,3.917,2.5,36110.0,34481.0,Operation,MTH002,-0.3,-0.3,11.0,Sustainable Cities and Communities
1248,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2045400000.0,3.017,3.658,3.004,1.881,5520.24,9060.42,Manufacturing,C.21.9.B,-0.073081686,-0.073081686,9.0,"Industry, Innovation and Infrastructure"
1249,WEU,Western Europe,LU,Luxembourg,515654000.0,3.439,3.734,3.461,2.881,1720.0,273.0,Farming,A.1.4.B,-0.097704494,-0.097704494,3.0,Good Health and Wellbeing
1252,WEU,Western Europe,IT,Italy,1890600000.0,2.926,3.134,3.088,2.357,317414.0,7644.0,Disposal ,C.17.1.B,-0.2,-0.2,12.0,Responsible Consumption and Production
1262,WEU,Western Europe,IT,Italy,3510000000.0,2.67,3.1,3.0,1.5,6176.45,4761.1,Operation,J.58.20.P,0.1,0.1,9.0,"Industry, Innovation and Infrastructure"
1263,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,28300000000.0,3.553,4.709,3.153,1.952,44840.0,311882.0,End-use,H.49.6.B,-0.078800187,-0.078800187,12.0,Responsible Consumption and Production
1264,WEU,Western Europe,IT,Italy,787770000.0,3.043,3.4,3.0,2.452,4485.4,1840.6,Raw materials,C.14.45.B,-0.1,-0.1,7.0,Affordable and Clean Energy
1267,NAM,Northern America,US,United States of America,17400700000.0,3.297,3.621,3.417,2.571,40498.0,25105.0,Farming,A.1.4.B,-0.433661864,-0.40794920304,12.0,Responsible Consumption and Production
1268,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5121400000.0,3.851,4.941,3.024,2.881,1051.0,180.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1272,WEU,Western Europe,IT,Italy,2363600000.0,3.175,3.8,2.977,2.286,10729.51,8302.15,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1274,WEU,Western Europe,ES,Spain,4617380000.0,3.09,3.9,3.0,1.738,24138.0,154895.0,Manufacturing,C.32.3.B,-0.1,-0.1,3.0,Good Health and Wellbeing
1276,NAM,Northern America,US,United States of America,7310000000.0,3.309,3.929,2.873,2.714,212712.0,175456.0,Operation,MTH002,-0.077,-0.077,2.0,Zero Hunger
1281,WEU,Western Europe,FR,France,1089600000.0,3.011,3.407,3.1,2.19,828.0,4546.0,End-use,C.14.30.B,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1283,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,25600000000.0,3.23,3.781,3.152,2.333,345723.0,238147.0,End-use,H.49.6.B,-0.014515808,-0.014515808,2.0,Zero Hunger
1284,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3360300000.0,3.153,4.2,3.0,1.452,24136.0,162242.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1289,NAM,Northern America,CA,Canada,10000000000.0,2.773,3.338,2.925,1.571,534314.0,715990.0,End-use,C.27.70.B,-0.25,-0.25,9.0,"Industry, Innovation and Infrastructure"
1295,WEU,Western Europe,IT,Italy,419900000.0,2.476,3.102,1.754,2.214,405.0,462.0,Operation,MTH002,-0.1,-0.1,4.0,Quality Education
1296,WEU,Western Europe,IT,Italy,527797000.0,2.884,3.1,2.8,2.595,1651.0,213461.0,End-use,M.74.2.B,-0.1,-0.1,3.0,Good Health and Wellbeing
1301,WEU,Western Europe,IE,Ireland,3291856000.0,2.895,3.348,2.9,2.071,6680.0,14714.0,Manufacturing,C.32.3.B,-0.1,-0.1,12.0,Responsible Consumption and Production
1302,WEU,Western Europe,LU,Luxembourg,828400000.0,3.009,3.032,2.961,3.024,4282.0,84778.0,Raw materials,C.22.34.B,-0.1325,-0.1325,7.0,Affordable and Clean Energy
1303,WEU,Western Europe,LU,Luxembourg,451800000.0,2.348,2.669,2.455,1.643,2780.0,10680.0,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1312,WEU,Western Europe,LU,Luxembourg,1250000000.0,3.331,3.818,2.935,2.929,8662.0,55328.0,Operation,MTH003,-0.1,-0.1,3.0,Good Health and Wellbeing
1314,WEU,Western Europe,NL,Netherlands,5130000000.0,3.0,3.602,2.653,2.333,598000.0,640000.0,Operation,MTH002,-0.2,-0.2,2.0,Zero Hunger
1316,WEU,Western Europe,IT,Italy,1651017000.0,3.384,3.441,4.75,1.643,5020.0,2142.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1318,WEU,Western Europe,ES,Spain,2518339000.0,2.461,2.107,2.127,3.5,200665.0,30664.0,Operation,MTH002,-0.189821267,-0.189821267,11.0,Sustainable Cities and Communities
1320,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,387691000.0,3.237,3.893,3.027,2.31,290.5,231.3,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1327,NAM,Northern America,US,United States of America,925735000.0,2.861,3.36,2.849,1.976,350599.0,176658.0,Manufacturing,C.20.26.B,-0.295401515,-0.295401515,2.0,Zero Hunger
1328,NAM,Northern America,US,United States of America,6260000000.0,2.764,3.9,1.738,1.952,19100.0,28000.0,Manufacturing,C.21.9.B,-0.161424238,-0.161424238,3.0,Good Health and Wellbeing
1331,NAM,Northern America,US,United States of America,2360000000.0,2.499,2.65,2.45,2.286,10725.0,0.0,Operation,MTH002,-0.1,-0.1,8.0,Decent Work and Economic Growth
1332,WEU,Western Europe,IT,Italy,2341600000.0,2.682,3.9,1.661,1.714,37280.0,1714.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1334,WEU,Western Europe,NL,Netherlands,2791300000.0,2.467,2.655,2.218,2.429,21100.0,86300.0,Manufacturing,C.26.1.B,-0.193190025,-0.193190025,9.0,"Industry, Innovation and Infrastructure"
1337,WEU,Western Europe,FR,France,2394700000.0,3.214,4.019,3.019,2.0,13839.0,14613.0,Operation,MTH002,-0.1,-0.1,3.0,Good Health and Wellbeing
1343,WEU,Western Europe,FI,Finland,494000000.0,2.92,3.192,3.0,2.333,3301.0,5431.0,Operation,MTH002,-0.267676768,-0.267676768,3.0,Good Health and Wellbeing
1349,WEU,Western Europe,NL,Netherlands,943000000.0,3.284,3.895,3.0,2.524,2071.0,4120.0,Operation,MTH002,-0.2,-0.2,8.0,Decent Work and Economic Growth
1358,WEU,Western Europe,DE,Germany,1058223000.0,2.317,2.182,2.783,2.0,141933.0,1558.0,Operation,MTH002,-0.1,-0.1,12.0,Responsible Consumption and Production
1363,NAM,Northern America,US,United States of America,1900000000.0,3.166,3.688,2.5,3.024,101173.0,131121.0,Raw materials,C.22.34.B,-0.25,-0.25,3.0,Good Health and Wellbeing
1366,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2611800000.0,2.39,2.32,2.938,1.857,37827.0,1250.0,Manufacturing,C.11.2.B,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1367,WEU,Western Europe,IE,Ireland,744117000.0,2.027,1.479,1.979,3.071,54564.0,3311.0,Operation,E.38.24.B,-0.644623426,-0.644623426,12.0,Responsible Consumption and Production
1368,WEU,Western Europe,IT,Italy,502076000.0,2.953,3.136,2.86,2.738,1036.8,948.05,End-use,M.74.2.B,-0.062139851,-0.062139851,3.0,Good Health and Wellbeing
1375,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1529800000.0,3.522,3.775,3.598,2.976,8391.0,1823.0,Other,ENVIB010,-0.1,-0.1,16.0,"Peace, Justice and Strong Institutions"
1378,WEU,Western Europe,SE,Sweden,737895000.0,2.698,3.0,2.864,1.952,2347.0,11307.0,Operation,MTH002,-0.1,-0.1,9.0,"Industry, Innovation and Infrastructure"
1380,WEU,Western Europe,NL,Netherlands,456800000.0,3.054,3.294,2.956,2.738,1639.0,27296.0,Operation,MTH004,-1.0,-1.0,11.0,Sustainable Cities and Communities
1383,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1015900000.0,3.062,3.492,2.744,2.667,5640.0,199.0,Operation,L.68.6.B,-0.492174427,-0.492174427,3.0,Good Health and Wellbeing
1400,WEU,Western Europe,IT,Italy,1700000000.0,2.853,3.045,2.857,2.5,5265.0,3400.0,Operation,J.58.94.P,0.1,0.1,16.0,"Peace, Justice and Strong Institutions"
1401,NAM,Northern America,US,United States of America,14700000000.0,3.089,3.9,2.9,1.857,54917.0,208413.0,Other,ENVIB010,-0.1,-0.1,3.0,Good Health and Wellbeing
1406,WEU,Western Europe,NL,Netherlands,2940000000.0,3.019,3.65,2.803,2.143,127587.0,69470.0,Operation,MTH004,-0.25,-0.25,3.0,Good Health and Wellbeing
1415,EA,Eastern Asia,CN,China,18200000000.0,3.091,3.944,3.079,1.571,194982.0,3486.0,Operation,MTH002,-0.1,-0.1,11.0,Sustainable Cities and Communities
1418,NAM,Northern America,US,United States of America,3588600000.0,2.77,3.083,3.0,1.929,2659.0,0.0,Other,ENVIB025,-0.25,-0.25,3.0,Good Health and Wellbeing
