entity_id,region_code,region_name,country_code,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2
1782,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,352806000,2.988,3.9,1.75,2.833,60,0
3918,NAM,Northern America,US,United States of America,1513700000,2.77,3.004,2.942,2.143,265,0
10299,WEU,Western Europe,FR,France,1.56E+09,2.501,2.979,2.56,1.571,1136,0
2324,NAM,Northern America,US,United States of America,12385107000,3.207,3.776,3,2.429,1468,0
1206,WEU,Western Europe,ES,Spain,2.98E+09,1.998,2.138,1.785,2,1802,0
1418,NAM,Northern America,US,United States of America,3588600000,2.77,3.083,3,1.929,2659,0
4021,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1.47E+09,2.466,2.45,2.5,2.452,2913,0
1494,NAM,Northern America,US,United States of America,1.40E+10,3.383,3.022,4.9,2.214,4319,0
3173,WEU,Western Europe,ES,Spain,857984000,3.397,3.815,3,3.119,10494,0
1331,NAM,Northern America,US,United States of America,2.36E+09,2.499,2.65,2.45,2.286,10725,0
10153,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1686002000,3.5,4.65,2.25,2.929,57313,0
4037,WEU,Western Europe,IT,Italy,1276800000,3.028,3.569,3.013,2.071,59534,0
1735,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0
2862,NAM,Northern America,US,United States of America,203366562,3.039,3.258,2.9,2.81,6.11,1.76
1618,WEU,Western Europe,DE,Germany,1.54E+09,2.843,3.9,1.9,2.071,112,3
2306,WEU,Western Europe,IE,Ireland,2.47E+09,3.79,4.9,3,2.738,184,43
1645,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,535412000,2.992,3.1,3,2.786,21,44
2149,WEU,Western Europe,FR,France,580900000,2.915,3.65,2,2.69,1290.68,76.4
4176,WEU,Western Europe,ES,Spain,9.36E+08,2.925,3.5,2.1,2.881,3342.11,88.81
1227,WEU,Western Europe,JE,Jersey,6.61E+08,3.374,4,2.012,3.881,637,91
1665,WEU,Western Europe,SE,Sweden,1.04E+09,2.743,2.948,3.053,2,354,93
3800,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,4.69E+08,3.264,3.944,3,2.357,26,108
1214,WEU,Western Europe,LU,Luxembourg,1116728000,2.449,2.465,2.143,2.786,747,111
2279,WEU,Western Europe,IE,Ireland,7996644000,3.147,4.238,3,1.357,3478,118
2929,NAM,Northern America,US,United States of America,1.12E+09,2.984,3.1,2.935,2.833,18.88,126
1140,WEU,Western Europe,NL,Netherlands,4.17E+08,2.776,2.793,3,2.476,78,126
3632,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1.38E+09,2.557,2.6,2.5,2.548,1037,126
3954,NAM,Northern America,US,United States of America,2983781000,2.573,3.1,2.678,1.5,120,130
106,WEU,Western Europe,DE,Germany,426258000,2.162,1.95,2.375,2.286,2223,131
10600,NAM,Northern America,US,United States of America,775586000,2.865,3.25,3.008,2,131.2,145.8
1794,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,458900000,3.15,3.105,2.966,3.452,89.58,154.55
1807,WEU,Western Europe,NL,Netherlands,2272329000,2.347,2.598,2,2.31,2071,160
1060,WEU,Western Europe,FR,France,563108000,2.769,2.798,2.434,3.119,16227,163
10477,NAM,Northern America,US,United States of America,2.73E+09,3.016,2.988,2.95,3.143,424,166
1268,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5121400000,3.851,4.941,3.024,2.881,1051,180
3539,WEU,Western Europe,DE,Germany,1847100000,2.4,2.994,1.9,1.929,2009,187
1383,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1015900000,3.062,3.492,2.744,2.667,5640,199
1588,WEU,Western Europe,ES,Spain,211200000,3.524,3.9,3,3.476,734,202
999,WEU,Western Europe,NL,Netherlands,4.11E+09,1.987,2.12,2.014,1.714,3684,204
3535,WEU,Western Europe,BE,Belgium,817500000,3.091,3.421,2.572,3.119,40732,215
1467,WEU,Western Europe,ES,Spain,4.62E+08,3.359,3.594,3.086,3.262,49,226
1320,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,387691000,3.237,3.893,3.027,2.31,290.5,231.3
3850,WEU,Western Europe,SE,Sweden,1.64E+10,2.665,3.102,2.205,2.429,20943,257
1249,WEU,Western Europe,LU,Luxembourg,515654000,3.439,3.734,3.461,2.881,1720,273
3992,WEU,Western Europe,IT,Italy,266100000,2.907,4,1.906,2.143,679.44,306.87
2285,WEU,Western Europe,FR,France,2.50E+09,2.949,3.058,2.92,2.786,6231,317
3312,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,995153000,2.937,3.15,3,2.476,172,355
1443,WEU,Western Europe,IT,Italy,435361000,2.861,3,2.953,2.5,666,369
4233,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1.04E+09,2.477,2.442,2.889,2.048,210,371
10204,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,610600000,2.441,3.017,2.042,1.881,22931.48,380.51
3673,WEU,Western Europe,CH,Switzerland,422300000,2.956,3.218,3,2.429,883,400
1242,WEU,Western Europe,IT,Italy,440714000,3.042,3.53,3,2.214,1962,400
2365,WEU,Western Europe,FR,France,8.72E+08,3.339,4,2.769,2.833,1144,421
2944,NAM,Northern America,US,United States of America,5.83E+08,2.851,3,2.9,2.524,92,432
3668,WEU,Western Europe,SE,Sweden,1.69E+10,3.031,3.805,2.907,1.786,54334,443
87,WEU,Western Europe,IT,Italy,568178000,2.726,3,2.677,2.286,2440,447.22
4061,NAM,Northern America,US,United States of America,2.42E+09,3.274,4.084,3,2.143,425,448
1295,WEU,Western Europe,IT,Italy,419900000,2.476,3.102,1.754,2.214,405,462
2677,NAM,Northern America,CA,Canada,843323000,2.912,3.2,3,2.286,8,482
10372,WEU,Western Europe,DE,Germany,571300000,3.264,3.469,3,3.214,1210,529
3429,WEU,Western Europe,SE,Sweden,1.48E+10,2.479,2.62,2.607,2.071,10617,558
2951,NAM,Northern America,US,United States of America,1576551000,1.803,1,3,1.81,375,574
3546,WEU,Western Europe,NL,Netherlands,669369000,1.939,1,3,2.357,735,581
1757,NAM,Northern America,US,United States of America,4183800000,2.902,3.086,2.9,2.571,254,584
10589,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,20215000,3.446,3.876,2.915,3.31,570.2,598.2
4051,NAM,Northern America,US,United States of America,1583900000,3.568,4.897,3,1.857,8574.81,599.49
1784,WEU,Western Europe,BE,Belgium,506778000,2.651,3.213,1.833,2.619,484,610
3048,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2955207000,3.13,3.25,2.8,3.31,17835,628
3179,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,6.93E+08,3.134,3.633,2.992,2.405,81,636
10233,WEU,Western Europe,IT,Italy,642500000,3.329,3.75,3.27,2.643,1344,690
2193,NAM,Northern America,US,United States of America,3.01E+09,3.526,4.739,3,1.976,14499,780
3289,WEU,Western Europe,NL,Netherlands,578600000,2.827,3.144,2.981,2.071,1969.17,784.22
3498,WEU,Western Europe,SE,Sweden,1.03E+10,2.817,3.262,2.394,2.524,38927,853
2292,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,7.73E+08,3.002,3.051,2.987,2.933,874,895
10432,WEU,Western Europe,SE,Sweden,4006800000,3.255,3.5,3,3.119,97,909
1170,NAM,Northern America,CA,Canada,2664900000,3.213,3.913,2.977,2.238,22879,910
2545,WEU,Western Europe,SE,Sweden,5.67E+08,3.903,4.9,3,3.19,62.86,942.93
1368,WEU,Western Europe,IT,Italy,502076000,2.953,3.136,2.86,2.738,1036.8,948.05
1160,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,754600000,2.729,3,2.988,1.929,1293,1005
4146,WEU,Western Europe,NL,Netherlands,1.07E+09,3.245,3.741,2.607,3.119,19413,1066
3114,NAM,Northern America,US,United States of America,965617000,2.895,2.75,3.125,2.881,27859,1082
3102,NAM,Northern America,US,United States of America,555124000,2.403,2.884,1.9,2.143,291,1086
3985,WEU,Western Europe,DK,Denmark,1.45E+10,2.17,2.491,2.286,1.452,1057,1112
10045,WEU,Western Europe,LU,Luxembourg,7.59E+08,3.022,3.65,2,3.119,134.8,1142.8
1925,NAM,Northern America,US,United States of America,1318471000,2.948,3.097,3,2.619,358,1166
3115,NAM,Northern America,US,United States of America,860205000,2.794,3.2,3,1.814,294,1178
3555,NAM,Northern America,US,United States of America,1.02E+09,3.531,4.373,3.267,2.333,1471.12,1204.88
1637,WEU,Western Europe,FR,France,1.16E+09,2.97,3,3,2.881,3389,1220
1366,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2611800000,2.39,2.32,2.938,1.857,37827,1250
10314,WEU,Western Europe,DE,Germany,1018100000,2.961,3.013,2.992,2.833,2295,1303
1476,WEU,Western Europe,DE,Germany,1.23E+09,3.254,3.55,3,3.024,1500,1324
1226,WEU,Western Europe,CH,Switzerland,828744000,3.128,3.6,3.1,2.31,441,1357
2589,NAM,Northern America,US,United States of America,852427000,3.067,3.047,3.15,3.005,87.79,1375.38
3705,WEU,Western Europe,BE,Belgium,2854600000,2.252,2.265,2.267,2.214,8072,1389
98,WEU,Western Europe,DE,Germany,616338000,3.376,3.821,3,3.024,4709.6,1410.4
4215,WEU,Western Europe,NL,Netherlands,4.17E+08,2.913,3.327,2,3.262,1560,1428
3942,NAM,Northern America,US,United States of America,849300000,3.084,3.093,3,3.167,329,1476
2265,WEU,Western Europe,FR,France,5.73E+08,3.071,3.638,2.419,2.833,987,1476
3936,WEU,Western Europe,NL,Netherlands,4.68E+08,2.872,2.93,2.855,2.786,10900,1477
3160,WEU,Western Europe,FR,France,1.60E+09,2.903,3.675,2,2.595,23843,1535
2807,WEU,Western Europe,MT,Malta,435800000,4.006,4.699,3.309,3.595,84709,1537
1358,WEU,Western Europe,DE,Germany,1058223000,2.317,2.182,2.783,2,141933,1558
1078,NAM,Northern America,US,United States of America,6.12E+09,3.068,3.8,3.039,1.786,8825,1597
1785,WEU,Western Europe,SE,Sweden,8.27E+08,3.01,4,1.95,2.5,22773,1600
2132,WEU,Western Europe,FR,France,932923000,3.565,4.25,2.945,3.119,28423,1601
1655,WEU,Western Europe,LU,Luxembourg,504771299,2.559,2.891,2.189,2.405,348,1608
1425,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1706700000,3.382,3.351,4.818,1.714,2743,1630
4188,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1216795000,2.821,3.565,2.43,1.952,79,1663
1332,WEU,Western Europe,IT,Italy,2341600000,2.682,3.9,1.661,1.714,37280,1714
3410,WEU,Western Europe,NL,Netherlands,2.40E+09,3.504,4,3.059,3.143,4815.7,1714.3
1091,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2350200000,3.07,3.653,2.711,2.452,242.4,1726
2575,WEU,Western Europe,DE,Germany,248316000,2.979,3.1,2.917,2.833,524,1726
1866,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,9446500000,2.847,3.097,3,2.214,16309,1741
3389,WEU,Western Europe,DE,Germany,4.12E+08,2.98,3.9,1.8,2.738,1655,1757
3785,WEU,Western Europe,FR,France,599700000,3.028,4,1.75,2.81,1655.64,1757.36
1504,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1402367000,3.156,3.744,3,2.286,31283,1758
2254,WEU,Western Europe,LU,Luxembourg,5.57E+08,2.908,2.937,2.926,2.833,556,1783
1064,WEU,Western Europe,FR,France,7.15E+08,3.177,3.742,2.617,2.833,12698,1814
1375,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1529800000,3.522,3.775,3.598,2.976,8391,1823
1264,WEU,Western Europe,IT,Italy,787770000,3.043,3.4,3,2.452,4485.4,1840.6
1672,WEU,Western Europe,SE,Sweden,4.98E+10,2.789,3.25,2.596,2.19,4200,1852
3311,WEU,Western Europe,NL,Netherlands,4.95E+09,2.85,3.35,2.65,2.19,35400,1880
3573,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2240600000,2.848,3.287,2.938,1.952,5919,1945
3647,WEU,Western Europe,ES,Spain,1.31E+09,3.853,4.9,3.25,2.69,7867,1949
3753,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,51219000,3.224,3.699,2.974,2.667,82,1959
3086,NAM,Northern America,US,United States of America,288945000,2.77,4,1.922,1.571,1548.82,1992.79
1316,WEU,Western Europe,IT,Italy,1651017000,3.384,3.441,4.75,1.643,5020,2142
1696,WEU,Western Europe,FI,Finland,2063500000,2.651,3.543,1.975,1.857,2096,2143
3042,WEU,Western Europe,FR,France,1.95E+09,2.933,3.503,2,3.024,2682,2164
4155,WEU,Western Europe,DE,Germany,3.61E+09,2.922,3.015,2.858,2.833,30240,2205
2709,NAM,Northern America,US,United States of America,1126816000,2.577,3,2.9,1.429,1219,2226
1564,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,5.81E+08,2.822,3,3,2.286,426,2280
1079,WEU,Western Europe,LU,Luxembourg,7.15E+08,3.083,3.25,3,2.881,2203,2288
1776,WEU,Western Europe,NO,Norway,645700000,3.017,3.509,3.006,2.143,180.1,2298.2
1437,WEU,Western Europe,SE,Sweden,1.99E+10,3.032,3.643,3.034,1.929,37,2299
1926,WEU,Western Europe,FR,France,569700000,2.96,3.084,3,2.69,7166,2386
10286,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2.12E+09,2.928,3.269,3.011,2.214,16912,2388
3438,NAM,Northern America,US,United States of America,1.68E+09,2.861,2.905,2.837,2.81,804,2456
1553,WEU,Western Europe,GI,Gibraltar,1754500000,3.507,3.072,5,2.5,892,2497
1054,WEU,Western Europe,FR,France,1.25E+09,2.885,3.46,1.984,2.929,1375,2510
2708,WEU,Western Europe,FR,France,4.18E+09,2.662,3,2.25,2.548,84296,2526
4192,WEU,Western Europe,IT,Italy,797200000,3.407,3.725,2.99,3.333,7.6,2549.4
3232,WEU,Western Europe,NL,Netherlands,2210571000,3.467,4.05,3.08,2.881,4768,2550
3310,WEU,Western Europe,FR,France,1476111000,2.836,3.042,2.886,2.405,30793,2598
1799,NAM,Northern America,US,United States of America,2.24E+09,3.205,4.75,2.25,1.571,59459,2751
10760,NAM,Northern America,US,United States of America,2787586000,2.736,3.33,2.281,2.214,1916,2808
2616,WEU,Western Europe,FR,France,5.61E+09,2.845,3.405,2.985,1.667,612,2811
1203,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1.63E+09,2.943,3.15,3,2.5,16965,2851
4198,WEU,Western Europe,ES,Spain,2.21E+09,2.707,2.989,2.755,2.143,43950,2936
1077,WEU,Western Europe,FR,France,1406689000,3.077,3.29,3.12,2.643,3008,3062
3419,NAM,Northern America,US,United States of America,1.85E+09,3.77,4.804,3,2.833,568478,3064
3683,WEU,Western Europe,DK,Denmark,2.37E+09,2.657,3.3,2,2.286,2673,3067
1824,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3044500000,3.226,3.625,3.233,2.5,108280,3070
1852,WEU,Western Europe,LU,Luxembourg,678999000,2.687,3.098,3,1.571,415.63,3074.36
10100,WEU,Western Europe,SE,Sweden,13538600000,2.824,3.176,2.943,2.048,614,3089
3669,ANZ,Australia and New Zealand,NZ,New Zealand,475078000,2.531,3.04,2.11,2.119,176,3161
4075,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,193600000,3.351,4.358,2.907,2.071,2487,3192
1243,WEU,Western Europe,SE,Sweden,3.41E+09,2.752,2.961,2.9,2.2,48140,3215
3769,WEU,Western Europe,DE,Germany,1.82E+09,2.901,4,1.942,2.071,18137,3248
3309,WEU,Western Europe,DE,Germany,732700000,2.745,2.7,2.5,3.119,48719,3253
1367,WEU,Western Europe,IE,Ireland,744117000,2.027,1.479,1.979,3.071,54564,3311
2037,NAM,Northern America,US,United States of America,599383000,2.539,3,1.9,2.476,2841,3373
2246,WEU,Western Europe,NL,Netherlands,635625000,2.327,2.25,2,2.857,8186,3378
1400,WEU,Western Europe,IT,Italy,1.70E+09,2.853,3.045,2.857,2.5,5265,3400
58,WEU,Western Europe,NO,Norway,655579000,3.682,4.566,3.084,2.81,231720,3401
2645,NAM,Northern America,US,United States of America,1561252000,2.895,3.65,2.35,2.19,281,3425
1415,EA,Eastern Asia,CN,China,1.82E+10,3.091,3.944,3.079,1.571,194982,3486
1195,WEU,Western Europe,FR,France,6.05E+09,3.17,3.859,3.449,1.595,45800,3500
10451,WEU,Western Europe,FR,France,5.28E+09,3.091,3.79,2.017,3.119,37806,3509
2953,NAM,Northern America,US,United States of America,648407000,3.029,3.867,2.986,1.571,21400,3600
1142,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,716484000,2.943,3.761,2.383,2.143,6347,3709
1939,NAM,Northern America,US,United States of America,2907738000,2.725,2.984,3,1.929,29,3830
1224,WEU,Western Europe,NL,Netherlands,1732400000,2.978,3.413,2.9,2.286,32666,3860
1162,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1123600000,2.857,3.2,2.4,2.786,205.9,3932.5
4205,WEU,Western Europe,IT,Italy,3.62E+08,3.304,3.9,3,2.595,14043,4081
1225,WEU,Western Europe,BE,Belgium,3.36E+09,2.686,3.012,2.827,1.929,24256,4085
3313,WEU,Western Europe,IT,Italy,462689000,3.064,3.094,2.974,3.119,1044,4099
1349,WEU,Western Europe,NL,Netherlands,9.43E+08,3.284,3.895,3,2.524,2071,4120
2703,NAM,Northern America,US,United States of America,2.55E+09,2.79,3.101,2.9,2.095,1506,4151
3725,WEU,Western Europe,LU,Luxembourg,649600000,3.346,3.802,3.211,2.69,15211,4263
2380,NAM,Northern America,US,United States of America,5693603000,2.64,3.168,2.042,2.405,441976,4397
2690,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,7.20E+08,2.745,2.5,2.9,3,18069,4467
3518,NAM,Northern America,US,United States of America,2849600000,3.504,3.953,3.15,3.119,2807,4488
1281,WEU,Western Europe,FR,France,1089600000,3.011,3.407,3.1,2.19,828,4546
1609,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,6253400000,3.329,3.836,2.92,2.905,95262,4562
1181,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3.05E+09,2.853,3.387,2.882,1.857,18199,4680
3908,WEU,Western Europe,DK,Denmark,2.38E+09,3.219,4.235,2.653,2.071,6511,4695
10702,WEU,Western Europe,LU,Luxembourg,534970000,3.322,3.9,3.1,2.548,5656.54,4697.11
3991,WEU,Western Europe,SE,Sweden,9.85E+09,2.729,3.31,3,1.357,842,4743
1262,WEU,Western Europe,IT,Italy,3.51E+09,2.67,3.1,3,1.5,6176.45,4761.1
1190,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,2.85E+09,2.548,2.495,2.905,2.214,134278,4842
3256,WEU,Western Europe,SE,Sweden,1498917000,2.634,2.579,2.711,2.643,38064,4997
1074,WEU,Western Europe,FR,France,1283277000,3.37,3.9,3.3,2.5,13537.81,5076.68
1557,WEU,Western Europe,FR,France,2402800000,3.018,3.4,2.995,2.357,41609,5271
2126,WEU,Western Europe,ES,Spain,8.43E+08,2.996,3.75,2,2.833,380.42,5296.02
1208,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,3371500000,3.16,3.602,2.807,2.786,41015,5405
1343,WEU,Western Europe,FI,Finland,4.94E+08,2.92,3.192,3,2.333,3301,5431
1213,WEU,Western Europe,CH,Switzerland,4.44E+09,3.129,3.9,2.675,2.286,7600,5500
1198,WEU,Western Europe,AT,Austria,1855872600,2.972,3.028,2.827,3.048,35049,5536
66,WEU,Western Europe,FR,France,4.80E+09,2.971,3.215,3.593,1.786,17567,5803
1491,NAM,Northern America,US,United States of America,1.87E+09,2.99,3.229,2.8,2.786,1012,5847
2339,NAM,Northern America,US,United States of America,790723000,2.803,3.901,2.184,1.571,183,6091
63,WEU,Western Europe,FR,France,1926233000,2.908,3.65,1.797,2.905,12879,6132
2209,WEU,Western Europe,DE,Germany,306500000,3.007,3.968,1.948,2.548,6364,6257
3665,NAM,Northern America,US,United States of America,4.30E+09,3.149,3,3,3.595,1034,6364.095
10801,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,1298700000,3.176,3.469,2.942,2.929,4326.6,6568
1511,WEU,Western Europe,PT,Portugal,715595511,3.054,3.504,2.799,2.548,21603,6759
2026,NAM,Northern America,US,United States of America,1.90E+09,2.96,3.25,2.65,2.81,66,7096
1204,WEU,Western Europe,DE,Germany,1.49E+09,3.162,3.702,2.862,2.548,4920,7419
2143,NAM,Northern America,US,United States of America,2767100000,2.668,3.159,2.768,1.667,161700,7500
2977,NAM,Northern America,US,United States of America,721900000,2.845,3.633,2.049,2.381,404,7644
1252,WEU,Western Europe,IT,Italy,1890600000,2.926,3.134,3.088,2.357,317414,7644
1239,WEU,Western Europe,DE,Germany,1392163000,2.023,1,3,2.69,7650,7760
2517,WEU,Western Europe,GB,United Kingdom of Great Britain and Northern Ireland,871900000,2.805,3.75,2,2.071,8153,7799
3320,WEU,Western Europe,NL,Netherlands,338730000,2.998,3.988,1.67,2.81,3730,7845
2169,NAM,Northern America,US,United States of America,6.43E+09,2.777,3.141,3,1.857,1877,7869
3642,NAM,Northern America,US,United States of America,1.95E+08,3.376,3.75,2.87,3.31,196,7919
10234,WEU,Western Europe,FR,France,6.29E+08,2.737,2.941,2.431,2.738,7065,8083
